id_n,idtax_individual_f,id_table_liste_plots_n,plot_name,sous_plot_name,position_transect,strate_cat,ind_num_sous_plot,herbarium_nbe_char,stem_diameter,issue_stem_diameter,tax_gen,tax_famclass,tax_fam,tax_esp,tax_rank01,tax_nam01,tax_infra_level,tax_infra_level_auth,id_trait_measures_stem_diameter,data_modif_d,data_modif_m,data_modif_y,ddlat,ddlon,team_leader,locality_name,region_name1,province
240682,55810,1079,TRST001,A,in,Ado,1,trst 01,94.3,NA,Chrysophyllum,Magnoliopsida,Sapotaceae,africanum,NA,NA,Chrysophyllum africanum,Chrysophyllum africanum A.DC.,361744,7,10,2020,0.29245,6.60659,Laura Benitez,Morro claudino- Caminho fugido,São Tomé,NA
240683,2210,1079,TRST001,A,in,Ado,2,trst 02,12.3,NA,Craterispermum,Magnoliopsida,Rubiaceae,cerinanthum,NA,NA,Craterispermum cerinanthum,Craterispermum cerinanthum Hiern,361745,7,10,2020,0.29245,6.60659,Laura Benitez,Morro claudino- Caminho fugido,São Tomé,NA
240684,2210,1079,TRST001,A,in,Ado,3,trst 02,6.9,NA,Craterispermum,Magnoliopsida,Rubiaceae,cerinanthum,NA,NA,Craterispermum cerinanthum,Craterispermum cerinanthum Hiern,361746,7,10,2020,0.29245,6.60659,Laura Benitez,Morro claudino- Caminho fugido,São Tomé,NA
240685,1434,1079,TRST001,A,in,Ado,4,trst 03,22,NA,Oxyanthus,Magnoliopsida,Rubiaceae,speciosus,NA,NA,Oxyanthus speciosus,Oxyanthus speciosus DC.,361747,7,10,2020,0.29245,6.60659,Laura Benitez,Morro claudino- Caminho fugido,São Tomé,NA
240686,39086,1079,TRST001,A,in,Ado,5,trst 04,10.5,NA,Drypetes,Magnoliopsida,Putranjivaceae,henriquesii,NA,NA,Drypetes henriquesii,Drypetes henriquesii (Pax) Hutch.,361748,7,10,2020,0.29245,6.60659,Laura Benitez,Morro claudino- Caminho fugido,São Tomé,NA
240687,1434,1079,TRST001,A,in,Ado,6,trst 03,6.5,NA,Oxyanthus,Magnoliopsida,Rubiaceae,speciosus,NA,NA,Oxyanthus speciosus,Oxyanthus speciosus DC.,361749,7,10,2020,0.29245,6.60659,Laura Benitez,Morro claudino- Caminho fugido,São Tomé,NA
240688,1434,1079,TRST001,A,in,Ado,7,trst 03,9.2,NA,Oxyanthus,Magnoliopsida,Rubiaceae,speciosus,NA,NA,Oxyanthus speciosus,Oxyanthus speciosus DC.,361750,7,10,2020,0.29245,6.60659,Laura Benitez,Morro claudino- Caminho fugido,São Tomé,NA
240689,19103,1079,TRST001,A,in,Ado,8,trst 05,6.1,NA,Homalium,Magnoliopsida,Salicaceae,henriquesii,NA,NA,Homalium henriquesii,Homalium henriquesii Gilg,361751,7,10,2020,0.29245,6.60659,Laura Benitez,Morro claudino- Caminho fugido,São Tomé,NA
240690,37178,1079,TRST001,A,in,Ado,9,trst 06,17.1,NA,Aulacocalyx,Magnoliopsida,Rubiaceae,pallens,subsp.,pallens,Aulacocalyx pallens subsp. pallens,Aulacocalyx pallens (Hiern) Bridson & Figueiredo subsp. pallens,361752,7,10,2020,0.29245,6.60659,Laura Benitez,Morro claudino- Caminho fugido,São Tomé,NA
240691,37178,1079,TRST001,A,in,Ado,10,trst 06,31.4,NA,Aulacocalyx,Magnoliopsida,Rubiaceae,pallens,subsp.,pallens,Aulacocalyx pallens subsp. pallens,Aulacocalyx pallens (Hiern) Bridson & Figueiredo subsp. pallens,361753,7,10,2020,0.29245,6.60659,Laura Benitez,Morro claudino- Caminho fugido,São Tomé,NA
