trait,std_value,pattern
mortality_risk_flag,broken_stem,"\bcass[eé](e|es|és)?\b.*\b(tronc|stem|bas|pied|hauteur)\b|\bbroken(\s+\w+)*[\s_-]+stem\b|\bstem\s+broken\b|tronc\s+cass|^broken_stem$|^broken_main_stem$"
mortality_risk_flag,broken_crown,"couronne\s+cass|cime\s+cass|cass[eé][es]?\s+en\s+haut|broken\s+crown|crown\s+broken|broken\s+top|top\s+broken|cime\s+bris[eé]e?|sommet\s+cass[eé]e?|^broken_crown$"
mortality_risk_flag,dying,"\bdemi\s*mort\b|\bdying\b|\bmourant\b|en\s+train\s+de\s+mourir|moribond"
mortality_risk_flag,leaning,"\bpench[eé]e?s?\b|\bleaning\b|inclin[eé]"
mortality_risk_flag,lying,"\bcouch[eé]e?s?\b|\blying\b|[aà]\s+terre|tomb[eé]\s+au?\s+sol|^lying$"
mortality_risk_flag,uprooted,"\buprooted\b|d[eé]racin[eé]e?s?|^uprooted$|^uprooted_tree$|^dead_uprooted$|chablis\s+racinaire"
mortality_risk_flag,defoliated_high,"feuillage\s+(tr[eè]s\s+)?clairsem|more\s+than\s+half\s+defoliated|tr[eè]s\s+d[eé]feuill|d[eé]feuill[eé]e?\s+(plus|>\s*50)|^defoliated_high$|^more_than_half_defoliated$"
mortality_risk_flag,defoliated_low,"less\s+than\s+half\s+defoliated|peu\s+d[eé]feuill|l[eé]g[eè]rement\s+d[eé]feuill|^defoliated_low$|^less_than_half_defoliated$"
mortality_risk_flag,large_liana_high_load,"(large|grosse?s?|grande?s?)\s+lian[ae]s?.*>\s*50|lian[ae]s?.*d\s*>\s*10.*>\s*50|^(big|large|grande?)_lian[ae]s?$"
mortality_risk_flag,small_liana_high_load,"(small|petite?s?)\s+lian[ae]s?.*>\s*50|lian[ae]s?.*d\s*<\s*10.*>\s*50|(beaucoup|nombreuses?|recouvert|couvert|charg[eé]e?s?)\s+(de\s+|d')?lian[ae]s?|d[eé]form[eé]e?s?\s+par\s+(les?\s+|une?\s+)?lian[ae]s?|[eé]trangl[eé]e?s?\s+par\s+(les?\s+|une?\s+)?lian[ae]s?|^small_lian[ae]s?$|cicatrice.*lian[ae]s?|lian[ae]s?\s+d[eé]formant|lian[ae]s?\s+en\s+canop[eé]e?s?|lian[ae]s?\s*\(moiti[eé]"
mortality_risk_flag,large_liana_low_load,"(large|grosse?s?|grande?s?)\s+lian[ae]s?.*<\s*50"
mortality_risk_flag,small_liana_low_load,"(small|petite?s?)\s+lian[ae]s?.*<\s*50|(un\s+peu|quelques?|peu)\s+(de\s+|d')?lian[ae]s?|pr[eé]sences?\s+.*lian[ae]s?|lian[ae]s?\s+(sur|autour)\s+(le|du|des)\s+tronc"
mortality_risk_flag,strangler,"\bstrangler\b|\bstangler\b|[eé]trangleur|figuier\s+[eé]trangleur"
mortality_risk_flag,damaged_leaves,"feuilles?\s+(ab[iî]m|endommag|damaged?)|damaged\s+leaves|^damaged_leaves$"
mortality_risk_flag,hollow,"\bcreux\b|\bhollow\b|trou[eé]e?s?\b"
mortality_risk_flag,wounded_elephant,"[eé]l[eé]phant|^wounded_elephant$"
mortality_risk_flag,wounded_exploitation,"exploit|logging|b[uû]cheronnage|machete|machette|^wounded_exploitation$"
mortality_risk_flag,wounded_human,"blessure.*humain|[eé]corc|debarked|bark\s+removed|[eé]corchure|^wounded_human$"
mortality_risk_flag,wounded_unknown,"\bbless[eé]e?s?\b(?!_)|\bwounded\b(?!_(?:elephant|exploitation|human|by))"
mortality_risk_flag,termites,"termite"
mortality_risk_flag,fungi,"champignon|fungi|fungus|mycel|moisissure"
mortality_risk_flag,burnt,"br[uû]l[eé]e?s?|burnt|burned|\bfeu\b|incendie"
dawkins_class,emergent,"\b[eé]mergent\b|\bemergent\b"
dawkins_class,canopy,"^canop[eé]e?$|^canopy$|\bdans\s+la\s+canop|in\s+canopy"
dawkins_class,sub_canopy,"sub[-\s]?canop|sous[-\s]?canop"
dawkins_class,understorey,"sous[-\s]?bois|understor"
dawkins_class,overtopped,"\bsurcim[eé]e?s?\b|\bovertopped\b|domin[eé]e?\s+par"
